session_id,user_id,user_type,start_hour,duration_minutes,late_night,avg_load,max_load,load_variance,has_quiz,quiz_score,message_count,whiteboard_actions,burnout_risk,performance
171,165,advanced,11,49,0,0.39,0.42,0.0008,1,67.06,1,4,low,B
172,128,beginner,10,187,0,0.82,1.0,0.0199,0,,31,2,medium,C
173,48,intermediate,21,60,0,0.4,0.47,0.0028,0,,32,14,low,C
174,82,intermediate,23,40,1,0.59,0.75,0.0081,1,34.84,35,16,low,D
175,107,advanced,8,126,0,0.42,0.51,0.003,1,82.53,28,15,low,A
176,157,beginner,8,27,0,0.62,0.78,0.0109,1,17.99,33,3,low,D
177,46,advanced,23,132,1,0.8,0.86,0.0017,1,64.23,34,5,medium,C
178,72,beginner,22,44,0,0.64,0.74,0.0029,1,-4.42,11,24,low,D
179,137,advanced,11,141,0,0.56,0.67,0.0025,1,99.58,9,9,low,A
180,37,advanced,12,41,0,0.57,0.6,0.0006,0,,15,27,low,A
181,20,advanced,15,56,0,0.56,0.65,0.002,0,,48,0,low,A
182,163,beginner,20,83,0,0.5,0.88,0.0387,0,,29,3,low,B
183,41,beginner,12,60,0,0.73,0.96,0.0112,1,-3.89,13,0,low,D
184,100,beginner,16,188,0,0.5,0.79,0.0105,1,13.53,30,15,low,D
185,104,advanced,22,120,0,0.61,0.67,0.0013,1,68.95,10,9,low,B
186,127,beginner,14,222,0,0.64,0.87,0.015,0,,38,5,low,B
187,76,beginner,17,114,0,0.42,0.6,0.0127,1,16.09,29,17,low,D
188,156,intermediate,19,126,0,0.6,0.75,0.0046,1,50.26,37,0,low,C
189,20,advanced,15,54,0,0.62,0.67,0.0009,1,65.2,26,6,low,B
190,148,advanced,13,100,0,0.72,0.82,0.0042,1,57.79,30,21,low,C
191,2,beginner,19,27,0,0.86,1.0,0.0152,1,2.49,15,13,low,D
192,178,beginner,12,219,0,0.9,1.0,0.0063,1,19.98,41,27,medium,D
193,35,intermediate,17,127,0,0.76,1.0,0.0125,1,23.32,22,23,low,D
194,114,beginner,8,202,0,0.46,0.84,0.025,1,22.42,33,13,low,D
195,171,advanced,15,156,0,0.27,0.35,0.001,0,,12,29,low,A
196,32,intermediate,13,200,0,0.35,0.53,0.0081,1,63.97,10,23,low,C
197,57,advanced,23,104,1,0.43,0.48,0.001,0,,1,7,low,A
198,55,beginner,10,228,0,0.54,0.78,0.0143,1,26.93,48,6,low,D
199,177,intermediate,21,174,0,0.36,0.54,0.0063,1,50.55,23,10,low,C
200,33,beginner,23,132,1,0.58,0.93,0.0216,0,,9,27,low,B
201,53,beginner,12,99,0,0.78,1.0,0.0312,1,1.81,48,5,low,D
202,191,beginner,16,99,0,0.48,0.68,0.0086,1,18.0,17,10,low,D
203,7,intermediate,8,185,0,0.91,1.0,0.0041,1,23.85,14,24,medium,D
204,116,advanced,20,214,0,0.84,0.89,0.0011,1,44.63,28,28,medium,D
205,137,advanced,20,110,0,0.34,0.42,0.002,1,91.26,14,0,low,A
206,87,beginner,15,191,0,0.49,0.91,0.0201,0,,0,17,low,D
207,156,intermediate,10,220,0,0.52,0.78,0.0084,1,51.5,27,0,low,C
208,2,beginner,6,197,0,0.55,0.75,0.0136,1,6.35,14,11,low,D
209,31,beginner,14,33,0,0.9,0.98,0.0037,1,-8.34,40,8,low,D
210,102,intermediate,7,140,0,0.79,0.97,0.0104,0,,18,10,low,C
211,108,intermediate,23,206,1,0.37,0.59,0.0095,1,53.5,32,21,medium,C
212,106,intermediate,13,62,0,0.7,0.78,0.003,0,,49,24,low,B
213,46,advanced,17,194,0,0.82,0.93,0.0036,1,53.41,39,2,medium,C
214,63,beginner,9,166,0,0.84,1.0,0.0212,0,,20,25,low,C
215,118,beginner,12,191,0,0.4,0.69,0.0193,0,,23,2,low,C
216,19,beginner,22,69,0,0.38,0.61,0.0154,1,30.14,43,25,low,D
217,45,beginner,9,215,0,0.47,0.79,0.0238,1,7.76,45,3,low,D
218,131,intermediate,23,180,1,0.85,0.98,0.0044,1,19.37,31,4,medium,D
219,161,intermediate,7,116,0,0.55,0.76,0.0152,0,,25,12,low,B
220,48,intermediate,13,183,0,0.8,0.96,0.0058,1,73.38,44,1,medium,B
221,170,advanced,13,35,0,0.35,0.4,0.0012,1,57.18,1,9,low,C
222,74,advanced,14,48,0,0.29,0.38,0.0016,0,,5,23,low,A
223,67,advanced,15,26,0,0.43,0.52,0.003,1,80.75,22,21,low,A
224,129,advanced,10,234,0,0.3,0.42,0.0021,1,73.76,17,19,low,B
225,40,advanced,16,238,0,0.54,0.64,0.0011,0,,25,7,low,B
226,16,intermediate,13,215,0,0.61,0.83,0.0117,0,,3,17,low,B
227,32,intermediate,9,211,0,0.86,0.99,0.0072,1,41.8,39,20,medium,D
228,91,beginner,18,208,0,0.79,1.0,0.0371,1,26.08,9,18,medium,D
229,6,intermediate,8,27,0,0.41,0.51,0.0039,1,8.88,31,20,low,D
230,59,advanced,6,147,0,0.36,0.43,0.0012,0,,2,19,low,A
231,18,intermediate,10,15,0,0.46,0.48,0.0005,1,66.33,44,2,low,B
232,100,beginner,10,157,0,0.35,0.77,0.0383,1,52.83,42,1,low,C
233,180,advanced,12,186,0,0.4,0.47,0.001,0,,15,28,low,A
234,25,advanced,9,177,0,0.83,0.89,0.0013,1,62.59,25,0,low,C
235,133,advanced,17,114,0,0.51,0.61,0.0025,1,56.52,48,24,low,C
236,13,beginner,13,113,0,0.52,0.92,0.0343,1,15.42,47,3,low,D
237,141,advanced,18,46,0,0.49,0.57,0.0026,1,64.91,3,7,low,C
238,184,beginner,17,107,0,0.31,0.61,0.0241,1,31.39,22,25,low,D
239,180,advanced,18,215,0,0.71,0.77,0.001,1,62.81,48,9,medium,C
240,80,advanced,17,153,0,0.43,0.48,0.001,0,,20,25,low,B
241,178,beginner,12,96,0,0.56,0.92,0.0322,0,,47,0,low,B
242,47,beginner,19,17,0,0.76,0.84,0.0032,1,36.41,28,25,low,D
243,139,advanced,14,60,0,0.56,0.63,0.0026,1,49.95,50,27,low,D
244,190,advanced,7,55,0,0.79,0.84,0.0006,1,82.67,23,12,low,A
245,100,beginner,6,85,0,0.74,0.97,0.0166,1,9.82,20,30,low,D
246,189,advanced,7,42,0,0.78,0.87,0.0026,1,65.35,48,24,low,B
247,125,advanced,20,81,0,0.27,0.37,0.0024,1,68.43,40,29,low,B
248,104,advanced,10,93,0,0.45,0.53,0.0013,0,,16,30,low,B
249,12,advanced,16,145,0,0.74,0.84,0.0018,1,87.18,37,2,low,A
250,193,advanced,9,32,0,0.75,0.81,0.0019,0,,26,14,low,A
251,5,beginner,13,216,0,0.74,1.0,0.0194,1,48.88,2,11,medium,D
252,49,advanced,19,161,0,0.51,0.57,0.0012,0,,45,10,low,A
253,127,beginner,21,205,0,0.78,1.0,0.0229,1,8.05,36,14,medium,D
254,156,intermediate,9,182,0,0.31,0.45,0.005,1,50.22,24,17,low,C
255,61,advanced,21,29,0,0.39,0.44,0.001,1,75.33,15,26,low,B
256,148,advanced,17,16,0,0.52,0.59,0.0047,1,75.23,10,5,low,B
257,59,advanced,15,99,0,0.62,0.69,0.0011,0,,12,9,low,A
258,174,advanced,19,124,0,0.76,0.86,0.0019,1,66.57,45,30,low,B
259,150,advanced,7,18,0,0.46,0.51,0.0018,0,,48,30,low,A
260,81,intermediate,14,114,0,0.81,0.96,0.0072,0,,34,17,low,B
261,110,advanced,9,186,0,0.74,0.8,0.0012,1,74.63,7,23,medium,B
262,134,beginner,17,166,0,0.41,0.79,0.0248,0,,49,6,low,D
263,14,intermediate,19,94,0,0.6,0.75,0.0071,1,23.08,28,30,low,D
264,104,advanced,13,172,0,0.53,0.62,0.0016,0,,30,22,low,B
265,198,beginner,6,37,0,0.4,0.55,0.0125,1,25.09,13,6,low,D
266,106,intermediate,7,101,0,0.8,0.93,0.0072,1,56.75,17,9,low,C
267,74,advanced,19,33,0,0.67,0.73,0.0012,1,85.92,28,29,low,A
268,104,advanced,23,115,1,0.33,0.39,0.0015,0,,1,21,low,A
269,106,intermediate,14,113,0,0.67,0.84,0.0077,1,48.61,11,6,low,D
270,169,beginner,21,21,0,0.63,0.92,0.0426,1,32.31,7,12,low,D
271,165,advanced,18,204,0,0.56,0.65,0.0011,1,85.24,42,4,low,A
272,194,intermediate,21,203,0,0.3,0.49,0.009,1,61.17,42,12,low,C
273,98,beginner,18,220,0,0.74,1.0,0.0367,0,,13,8,medium,C
274,66,beginner,14,163,0,0.45,0.78,0.0257,0,,25,17,low,B
275,196,advanced,14,201,0,0.38,0.45,0.0021,1,86.98,16,1,low,A
276,190,advanced,21,155,0,0.7,0.76,0.001,1,65.51,13,2,low,B
277,80,advanced,8,234,0,0.49,0.57,0.0017,1,68.68,26,17,low,B
278,50,intermediate,14,205,0,0.83,1.0,0.0114,0,,44,15,medium,B
279,127,beginner,6,187,0,0.57,0.88,0.0257,1,6.64,26,30,low,D
280,138,advanced,20,78,0,0.74,0.83,0.0013,0,,33,11,low,A
281,147,beginner,21,143,0,0.75,0.98,0.0143,0,,15,0,low,D
282,61,advanced,8,93,0,0.73,0.85,0.0028,0,,8,2,low,A
283,63,beginner,17,129,0,0.67,1.0,0.0398,0,,5,21,low,C
284,110,advanced,21,98,0,0.29,0.37,0.0014,1,91.25,14,14,low,A
285,58,beginner,7,78,0,0.72,1.0,0.0177,1,1.41,2,24,low,D
286,57,advanced,13,87,0,0.85,0.95,0.0029,1,71.42,12,24,low,B
287,199,beginner,7,93,0,0.69,0.9,0.0108,1,25.96,7,16,low,D
288,68,beginner,16,181,0,0.54,0.96,0.0404,1,10.65,27,26,low,D
289,173,advanced,20,212,0,0.71,0.82,0.002,1,68.46,24,8,medium,B
290,66,beginner,19,174,0,0.51,0.94,0.0673,0,,37,1,low,C
291,114,beginner,8,147,0,0.66,1.0,0.0243,1,35.06,15,26,low,D
292,144,beginner,12,27,0,0.64,0.82,0.0185,0,,49,5,low,B
293,82,intermediate,20,236,0,0.36,0.55,0.0057,1,37.05,43,5,low,D
294,110,advanced,18,26,0,0.81,0.87,0.0028,0,,7,2,low,B
295,144,beginner,6,135,0,0.56,0.81,0.0166,1,13.33,0,16,low,D
296,194,intermediate,8,126,0,0.58,0.71,0.0065,0,,25,16,low,B
297,10,intermediate,8,239,0,0.38,0.54,0.0063,0,,18,23,low,B
298,69,advanced,21,138,0,0.28,0.34,0.0012,1,82.81,46,8,low,A
299,66,beginner,21,37,0,0.78,1.0,0.0167,1,25.38,30,18,low,D
300,113,advanced,18,114,0,0.49,0.58,0.0026,1,79.36,26,23,low,B
301,142,intermediate,7,153,0,0.8,0.97,0.0057,1,63.48,0,13,low,C
302,78,intermediate,23,114,1,0.62,0.76,0.0068,1,42.61,41,5,low,D
303,53,beginner,22,56,0,0.53,0.8,0.0211,1,20.43,9,8,low,D
304,188,beginner,12,80,0,0.72,0.99,0.0157,1,14.77,31,2,low,D
305,29,beginner,8,36,0,0.91,1.0,0.0055,1,-8.45,28,28,low,D
306,196,advanced,18,232,0,0.29,0.35,0.001,1,90.28,45,10,low,A
307,28,advanced,18,24,0,0.67,0.72,0.0017,1,55.79,3,11,low,C
308,23,intermediate,13,131,0,0.84,1.0,0.0077,1,20.68,24,2,low,D
309,62,beginner,17,221,0,0.52,0.75,0.0123,1,12.15,41,14,low,D
310,24,intermediate,16,222,0,0.38,0.56,0.0086,1,13.48,35,10,low,D
311,151,advanced,11,165,0,0.59,0.65,0.0014,1,72.01,26,29,low,B
312,24,intermediate,19,88,0,0.64,0.78,0.0053,1,37.03,29,28,low,D
313,83,advanced,23,70,1,0.59,0.65,0.0012,1,77.22,36,5,low,B
314,86,beginner,9,70,0,0.83,1.0,0.0202,1,15.95,18,2,low,D
315,144,beginner,15,85,0,0.47,0.75,0.0295,0,,34,30,low,C
316,123,advanced,14,47,0,0.57,0.65,0.0017,0,,31,27,low,C
317,71,advanced,14,128,0,0.42,0.47,0.001,1,103.94,44,11,low,A
318,13,beginner,8,197,0,0.9,1.0,0.009,0,,39,4,medium,C
319,104,advanced,15,234,0,0.68,0.74,0.0013,0,,46,15,low,A
320,141,advanced,19,193,0,0.56,0.62,0.0014,1,43.15,42,18,low,D
321,122,intermediate,18,157,0,0.64,0.82,0.0057,1,61.3,49,6,low,C
322,173,advanced,22,89,0,0.31,0.42,0.0023,1,54.29,3,1,low,C
323,183,intermediate,18,35,0,0.42,0.51,0.0039,1,32.02,36,1,low,D
324,109,intermediate,19,139,0,0.74,0.95,0.0091,1,20.34,13,7,low,D
325,138,advanced,23,107,1,0.4,0.45,0.001,1,69.32,31,6,low,B
326,6,intermediate,20,224,0,0.78,0.94,0.0058,0,,9,6,medium,A
327,196,advanced,18,179,0,0.79,0.89,0.0021,0,,42,6,low,A
328,106,intermediate,14,103,0,0.64,0.75,0.0048,0,,33,8,low,A
329,113,advanced,14,54,0,0.68,0.74,0.0018,1,81.95,9,21,low,A
330,180,advanced,15,111,0,0.83,0.91,0.0023,1,73.61,15,6,low,B
331,107,advanced,13,104,0,0.76,0.83,0.0019,1,58.47,42,10,low,C
332,2,beginner,18,211,0,0.52,0.77,0.0162,1,21.86,21,21,low,D
333,25,advanced,18,201,0,0.72,0.83,0.002,1,79.57,21,6,medium,B
334,13,beginner,12,20,0,0.63,0.69,0.0036,1,3.59,4,22,low,D
335,134,beginner,14,228,0,0.76,1.0,0.0338,1,-0.25,28,11,medium,D
336,74,advanced,13,170,0,0.64,0.77,0.0026,0,,25,10,low,A
337,25,advanced,14,17,0,0.36,0.42,0.0016,1,80.53,10,20,low,A
338,73,beginner,11,218,0,0.38,0.6,0.0114,0,,35,9,low,C
339,196,advanced,16,167,0,0.38,0.5,0.0024,0,,43,0,low,A
340,51,beginner,10,184,0,0.58,0.92,0.0305,1,20.61,29,6,low,D
341,154,beginner,18,190,0,0.64,1.0,0.0357,1,22.7,17,26,low,D
